11111: ----- -
22333: 12313 1
22334: 25324 4
22335: 52334 5
22341: 52345 5
22342: 21142 2
22343: 52342 5
22344: 21144 2
22345: 22243 3
22351: 22254 3
22352: 12332 1
22353: 52352 5
22354: 52353 5
22355: 21155 2
22411: 52415 5
22412: 25452 4
22413: 52412 5
22414: 12444 1
22415: 52414 5
22421: 25411 4
22422: 12452 1
22423: 52422 5
22424: 25414 4
22425: 22323 3
22431: 22334 3
22432: 52431 5
22433: 52432 5
22434: 12414 1
22435: 52434 5
22441: 22344 3
22442: 22345 3
22443: 25433 4
22444: 52443 5
22445: 22343 3
22451: 25441 4
22452: 25442 4
22453: 25443 4
22454: 12434 1
22455: 52454 5
22511: 52515 5
22512: 22415 3
22513: 12543 1
22514: 12544 1
22515: 52514 5
22521: 12551 1
22522: 25512 4
22523: 21323 2
22524: 21324 2
22525: 22423 3
22531: 52535 5
22532: 12512 1
22533: 52532 5
22534: 22432 3
22535: 22433 3
22541: 22444 3
22542: 52541 5
22543: 25533 4
22544: 22442 3
22545: 22443 3
22551: 21351 2
22552: 22455 3
22553: 52552 5
22554: 21354 2
22555: 21355 2
23111: 53115 5
23112: 53111 5
23113: 13143 1
23114: 22414 2
23115: 13145 1
23121: 21111 4
23122: 21112 4
23123: 22423 2
23124: 21114 4
23125: 13155 1
23131: 53135 5
23132: 22432 2
23133: 13113 1
23134: 21124 4
23135: 21125 4
23141: 23544 3
23142: 21132 4
23143: 13123 1
23144: 21134 4
23145: 53144 5
23151: 23554 3
23152: 21142 4
23153: 53152 5
23154: 21144 4
23155: 22455 2
23211: 21251 4
23212: 23115 3
23213: 23111 3
23214: 23112 3
23215: 22515 2
23221: 53225 5
23222: 13252 1
23223: 53222 5
23224: 21214 4
23225: 21215 4
23231: 22531 2
23232: 53231 5
23233: 22533 2
23234: 53233 5
23235: 13215 1
23241: 21231 4
23242: 22542 2
23243: 53242 5
23244: 22544 2
23245: 13225 1
23251: 53255 5
23252: 13232 1
23253: 22553 2
23254: 53253 5
23255: 53254 5
23311: 21351 4
23312: 22112 2
23313: 13343 1
23314: 21354 4
23315: 53314 5
23321: 53325 5
23322: 22122 2
23323: 53322 5
23324: 53323 5
23325: 23223 3
23331: 23234 3
23332: 13312 1
23333: 21323 4
23334: 21324 4
23335: 22135 2
23341: 53345 5
23342: 22142 2
23343: 23241 3
23344: 22144 2
23345: 13325 1
23351: 53355 5
23352: 23255 3
23353: 23251 3
23354: 53353 5
23355: 13335 1
23411: 53415 5
23412: 21452 4
23413: 53412 5
23414: 13444 1
23415: 21455 4
23421: 22221 2
23422: 21412 4
23423: 23321 3
23424: 53423 5
23425: 23323 3
23431: 21421 4
23432: 21422 4
23433: 53432 5
23434: 22234 2
23435: 53434 5
23441: 53445 5
23442: 21432 4
23443: 23341 3
23444: 23342 3
23445: 53444 5
23451: 21441 4
23452: 13432 1
23453: 21443 4
23454: 21444 4
23455: 53454 5
23511: 23414 3
23512: 13542 1
23513: 53512 5
23514: 13544 1
23515: 23413 3
23521: 23424 3
23522: 21512 4
23523: 22323 2
23524: 13554 1
23525: 21515 4
23531: 53535 5
23532: 23435 3
23533: 53532 5
23534: 22334 2
23535: 22335 2
23541: 23444 3
23542: 23445 3
23543: 22343 2
23544: 53543 5
23545: 23443 3
23551: 23454 3
23552: 23455 3
23553: 22353 2
23554: 22354 2
23555: 23453 3
24111: 54115 5
24112: 14142 1
24113: 14143 1
24114: 54113 5
24115: 22155 4
24121: 14151 1
24122: 22112 4
24123: 14153 1
24124: 54123 5
24125: 54124 5
24131: 14111 1
24132: 22122 4
24133: 54132 5
24134: 54133 5
24135: 23435 2
24141: 54145 5
24142: 54141 5
24143: 23443 2
24144: 24542 3
24145: 22135 4
24151: 54155 5
24152: 22142 4
24153: 23453 2
24154: 22144 4
24155: 14135 1
24211: 24114 3
24212: 54211 5
24213: 23513 2
24214: 22254 4
24215: 54214 5
24221: 54225 5
24222: 14252 1
24223: 54222 5
24224: 24122 3
24225: 14255 1
24231: 23531 2
24232: 54231 5
24233: 22223 4
24234: 54233 5
24235: 22225 4
24241: 24144 3
24242: 23542 2
24243: 24141 3
24244: 24142 3
24245: 23545 2
24251: 24154 3
24252: 14232 1
24253: 54252 5
24254: 54253 5
24255: 14235 1
24311: 23111 2
24312: 23112 2
24313: 54312 5
24314: 22354 4
24315: 23115 2
24321: 54325 5
24322: 23122 2
24323: 24221 3
24324: 54323 5
24325: 14355 1
24331: 54335 5
24332: 14312 1
24333: 24231 3
24334: 24232 3
24335: 14315 1
24341: 54345 5
24342: 24245 3
24343: 14323 1
24344: 22334 4
24345: 22335 4
24351: 24254 3
24352: 54351 5
24353: 54352 5
24354: 54353 5
24355: 24253 3
24411: 54415 5
24412: 54411 5
24413: 54412 5
24414: 14444 1
